iter	Passed	Remaining
0	580	57467
1	1088	53330
2	1495	48351
3	1771	42511
4	2008	38162
5	2294	35948
6	2554	33936
7	2864	32947
8	3170	32059
9	3464	31176
10	3732	30198
11	4007	29388
12	4257	28495
13	4539	27887
14	4828	27363
15	5081	26679
16	5465	26683
17	5769	26284
18	6005	25602
19	6220	24882
20	6486	24403
21	6768	23995
22	6968	23329
23	7154	22655
24	7341	22025
25	7568	21540
26	7756	20969
27	7928	20387
28	8161	19980
29	8414	19634
30	8810	19610
31	9470	20124
32	9888	20077
33	10270	19936
34	10551	19594
35	10886	19353
36	11223	19109
37	11597	18922
38	11875	18575
39	12173	18260
40	12526	18026
41	12800	17676
42	13171	17459
43	13507	17191
44	13827	16899
45	14181	16647
46	14522	16376
47	14754	15984
48	14986	15598
49	15151	15151
50	15255	14657
51	15348	14168
52	15437	13689
53	15527	13227
54	15615	12776
55	15694	12331
56	15785	11908
57	15869	11491
58	15949	11083
59	16036	10690
60	16120	10306
61	16203	9930
62	16290	9567
63	16372	9209
64	16462	8864
65	16540	8520
66	16630	8190
67	16721	7868
68	16803	7549
69	16903	7244
70	16972	6932
71	17041	6627
72	17134	6337
73	17203	6044
74	17274	5758
75	17340	5475
76	17403	5198
77	17466	4926
78	17530	4660
79	17600	4400
80	17668	4144
81	17740	3894
82	17803	3646
83	17869	3403
84	17949	3167
85	18015	2932
86	18060	2698
87	18103	2468
88	18146	2242
89	18213	2023
90	18256	1805
91	18299	1591
92	18340	1380
93	18384	1173
94	18428	969
95	18469	769
96	18512	572
97	18549	378
98	18583	187
99	18618	0
3066	0

