country,product_type,listings,sales,sales_rate,avg_price
Italy,Sunglasses,11446,96,0.8387209505504107,198.5005565262974
Italy,Silk tie,10304,81,0.7861024844720497,77.85802212732919
Italy,Jacket,7060,74,1.048158640226629,342.6232988668556
Italy,T-shirt,6264,166,2.6500638569604087,143.6949345466156
Italy,Leather low trainers,6029,70,1.1610549013103333,273.7009951899154
Italy,Leather belt,5570,43,0.7719928186714542,189.53718671454217
Italy,Sweatshirt,5458,72,1.31916452913155,196.6126108464639
Italy,Shirt,5131,89,1.7345546677061001,138.55248099785618
Italy,Leather boots,4810,57,1.185031185031185,335.7356091476091
Italy,Leather flats,4761,122,2.5624868725057763,292.0681096408318
Italy,Trousers,4556,72,1.5803336259877085,158.97529850746267
Italy,Leather lace ups,4496,54,1.2010676156583628,281.96520685053383
Italy,Vest,4210,40,0.9501187648456058,253.5124085510689
Italy,Leather heels,4192,75,1.78912213740458,234.43665076335876
Italy,Watch,4025,14,0.34782608695652173,453.8144571428571
France,Sunglasses,3595,50,1.3908205841446455,255.62469262865088
France,Leather lace ups,3465,36,1.0389610389610389,280.4871976911977
France,Leather boots,3464,45,1.2990762124711317,344.6363019630485
France,Vest,3451,59,1.7096493769921763,256.6625325992466
France,Shirt,3357,78,2.323503127792672,128.47916592195412
France,T-shirt,3241,111,3.424868867633447,131.68474853440296
France,Silk tie,3166,32,1.010739102969046,71.53984838913456
France,Watch,2965,32,1.0792580101180438,637.8636492411466
France,Leather flats,2464,61,2.4756493506493507,309.14384740259743
France,Leather low trainers,2438,50,2.0508613617719442,306.94017227235435
France,Leather heels,2420,63,2.603305785123967,234.59458264462805
France,Trousers,2390,34,1.4225941422594142,185.00693305439327
France,Sweatshirt,2330,46,1.9742489270386268,186.85688412017166
France,Mid-length dress,2202,39,1.7711171662125342,184.55396457765664
France,Jacket,2108,36,1.7077798861480076,371.88154174573054
United States,Sunglasses,13719,36,0.2624097966324076,216.418166047088
United States,Leather wallet,4579,10,0.21838829438742083,335.58751910897575
United States,Watch,4196,4,0.09532888465204957,1517.875059580553
United States,Silk tie,3501,10,0.2856326763781777,87.65855755498428
United States,Leather heels,2941,43,1.4620877252635158,495.27796667800067
United States,Leather flats,2834,35,1.2350035285815104,372.8369689484827
United States,Leather boots,2719,12,0.4413387274733358,509.4937808017654
United States,Jacket,2410,18,0.7468879668049793,523.1247717842324
United States,Mini dress,2353,14,0.5949851253718658,237.1208457288568
United States,Mid-length dress,2317,17,0.73370738023306,262.53954682779454
United States,Leather belt,2066,20,0.9680542110358179,336.6047144240078
United States,Leather trainers,1864,17,0.9120171673819742,418.81494098712443
United States,Leather lace ups,1804,10,0.5543237250554324,389.74236141906874
United States,Shirt,1770,14,0.7909604519774011,180.9325254237288
United States,Oversized sunglasses,1740,8,0.45977011494252873,252.48114367816092
United Kingdom,Jacket,3532,52,1.4722536806342015,414.415178369196
United Kingdom,Sunglasses,3145,22,0.699523052464229,223.60487440381561
United Kingdom,T-shirt,2486,53,2.131938857602574,173.3554424778761
United Kingdom,Leather heels,1984,58,2.9233870967741935,297.6834223790322
United Kingdom,Leather boots,1905,27,1.4173228346456692,403.06464041994747
United Kingdom,Shirt,1893,50,2.641310089804543,175.11748547279453
United Kingdom,Mid-length dress,1846,45,2.4377031419284942,248.60230769230768
